combo_id,fib_id,zoi_id,zoi_zone,pocket_vs_zone,fib_class,zoi_position,combined_verdict,fib_verdict,zoi_verdict,rule_explanation
F1xZ1xOVL,F1,Z1,demand,OVERLAP,IN_POCKET_UP,INSIDE_DEMAND_UP,BUY*,BUY,BUY,HIGHEST-CONVICTION CONFLUENCE - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price is inside a demand zone and rising (institutional support confirmed). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). Fib retracement and zone agree bullish at the SAME price - full-confidence entry.
F1xZ2xOVL,F1,Z2,demand,OVERLAP,IN_POCKET_UP,INSIDE_DEMAND_DOWN,CAUTION,BUY,AVOID,"CONFLICTING SIGNALS - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price is inside a demand zone but falling (zone breaking down). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F1xZ3xOVL,F1,Z3,demand,OVERLAP,IN_POCKET_UP,NEAR_ABOVE_DEMAND_UP,BUY*,BUY,BUY,HIGHEST-CONVICTION CONFLUENCE - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price bounced 1-10% above a demand zone with momentum. Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). Fib retracement and zone agree bullish at the SAME price - full-confidence entry.
F1xZ3xPABV,F1,Z3,demand,POCKET_ABOVE,IN_POCKET_UP,NEAR_ABOVE_DEMAND_UP,BUY,BUY,BUY,VALID ENTRY - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price bounced 1-10% above a demand zone with momentum. Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). Fib and zone align bullish - take the trade.
F1xZ4xOVL,F1,Z4,demand,OVERLAP,IN_POCKET_UP,NEAR_ABOVE_DEMAND_DOWN,CAUTION,BUY,WATCH,"CONFLICTING SIGNALS - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price is 1-10% above a demand zone but with no HH-HL. Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F1xZ4xPABV,F1,Z4,demand,POCKET_ABOVE,IN_POCKET_UP,NEAR_ABOVE_DEMAND_DOWN,CAUTION,BUY,WATCH,"CONFLICTING SIGNALS - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price is 1-10% above a demand zone but with no HH-HL. Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F1xZ5xPABV,F1,Z5,demand,POCKET_ABOVE,IN_POCKET_UP,FAR_ABOVE_DEMAND,CAUTION,BUY,WAIT,"CONFLICTING SIGNALS - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price is >10% above the nearest demand zone (extended). Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). The two signals do not cleanly agree (overhead supply, a breaking/extended zone, or pocket and zone at different prices); reduce size or wait for the conflict to resolve."
F1xZ5cxOVL,F1,Z5c,demand,OVERLAP,IN_POCKET_UP,RECOVERY_INSIDE_DEMAND,BUY*,BUY,BUY,HIGHEST-CONVICTION CONFLUENCE - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price recovered from below back into a demand zone (level reclaimed). Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). Fib retracement and zone agree bullish at the SAME price - full-confidence entry.
F1xZ5dxOVL,F1,Z5d,demand,OVERLAP,IN_POCKET_UP,RECOVERY_ABOVE_DEMAND,BUY*,BUY,BUY,HIGHEST-CONVICTION CONFLUENCE - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price recovered through a demand zone and is 1-10% above it. Geometry: the golden pocket and the zone occupy the SAME price band (true confluence at one level). Fib retracement and zone agree bullish at the SAME price - full-confidence entry.
F1xZ5dxPABV,F1,Z5d,demand,POCKET_ABOVE,IN_POCKET_UP,RECOVERY_ABOVE_DEMAND,BUY,BUY,BUY,VALID ENTRY - Fib: price is inside the golden pocket (61.8-80%) and making HH-HL (confirmed fib bounce). ZOI: price recovered through a demand zone and is 1-10% above it. Geometry: the golden pocket sits ABOVE the zone (the zone is a deeper support/backstop below). Fib and zone align bullish - take the trade.
